customer_id,name,email,phone,date_joined
1,Customer_1,customer1@email.com,913-555-9815,2022-06-15
2,Customer_2,customer2@email.com,456-555-1377,2018-09-21
3,Customer_3,customer3@email.com,845-555-1605,2020-11-05
4,Customer_4,customer4@email.com,297-555-7940,2016-08-18
5,Customer_5,customer5@email.com,543-555-9020,2022-10-06
6,Customer_6,customer6@email.com,960-555-4875,2018-03-15
7,Customer_7,customer7@email.com,989-555-2236,2019-02-18
8,Customer_8,customer8@email.com,151-555-4630,2017-12-01
9,Customer_9,customer9@email.com,862-555-9005,2016-02-11
10,Customer_10,customer10@email.com,155-555-7408,2021-07-08
11,Customer_11,customer11@email.com,144-555-9855,2023-07-08
12,Customer_12,customer12@email.com,373-555-5125,2022-11-01
13,Customer_13,customer13@email.com,167-555-2078,2021-04-08
14,Customer_14,customer14@email.com,766-555-5286,2018-12-03
15,Customer_15,customer15@email.com,400-555-6416,2019-08-09
16,Customer_16,customer16@email.com,489-555-5976,2015-04-05
17,Customer_17,customer17@email.com,499-555-5100,2015-04-06
18,Customer_18,customer18@email.com,418-555-9033,2018-03-23
19,Customer_19,customer19@email.com,593-555-4196,2015-06-01
20,Customer_20,customer20@email.com,468-555-3446,2015-05-24
21,Customer_21,customer21@email.com,334-555-9343,2023-07-21
22,Customer_22,customer22@email.com,781-555-8743,2020-07-08
23,Customer_23,customer23@email.com,179-555-3464,2021-12-21
24,Customer_24,customer24@email.com,618-555-6128,2022-10-20
25,Customer_25,customer25@email.com,748-555-6297,2022-01-14
26,Customer_26,customer26@email.com,161-555-2391,2016-05-08
27,Customer_27,customer27@email.com,451-555-6985,2017-02-10
28,Customer_28,customer28@email.com,362-555-3436,2019-10-09
29,Customer_29,customer29@email.com,969-555-8953,2020-07-18
30,Customer_30,customer30@email.com,559-555-4101,2017-01-05
31,Customer_31,customer31@email.com,502-555-9299,2019-12-11
32,Customer_32,customer32@email.com,557-555-2979,2023-05-15
33,Customer_33,customer33@email.com,765-555-4912,2019-09-17
34,Customer_34,customer34@email.com,681-555-5776,2015-08-17
35,Customer_35,customer35@email.com,760-555-7899,2021-04-07
36,Customer_36,customer36@email.com,578-555-3081,2016-08-07
37,Customer_37,customer37@email.com,978-555-5948,2017-08-20
38,Customer_38,customer38@email.com,915-555-1211,2016-09-01
